CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.032,20.0,3.0,0.0,0.45,5.7,75.0,3.8,2.0,185.0,16.5,390.0,12.0,22.0
0.23456,0.0,9.9,0.0,0.544,6.5,65.0,5.4321,4.0,432.0,17.4,380.45,12.34,22.5
0.34567,25.0,4.05,1.0,0.41,7.001,80.0,4.5678,5.0,398.0,18.0,395.67,8.9,30.0
0.56789,0.0,18.1,0.0,0.679,5.85,92.0,2.3456,24.0,666.0,20.2,350.12,25.67,10.0
0.07891,0.0,25.65,0.0,0.581,5.99,95.6,1.7572,2.0,188.0,19.1,359.29,27.26,15.7
0.09012,0.0,11.93,0.0,0.573,6.794,89.3,2.4567,1.0,273.0,21.0,398.45,7.89,21.0
0.12098,60.0,2.46,0.0,0.488,6.405,76.5,3.2109,3.0,193.0,17.8,391.0,14.0,26.0
2.876,0.0,19.58,0.0,0.605,5.648,91.8,2.242,5.0,453.0,17.8,350.12,25.67,10.0
3.215,0.0,18.1,0.0,0.685,5.79,98.6,1.835,24.0,480.0,19.8,348.12,24.75,11.6
0.15936,0.0,6.91,0.0,0.448,5.686,17.9,5.8508,3.0,208.0,18.4,390.95,16.03,15.0
0.028,0.0,4.05,0.0,0.51,6.416,84.1,2.6463,5.0,296.0,16.6,395.5,5.9,29.6
0.175,0.0,5.96,0.0,0.499,5.85,58.2,3.0414,5.0,279.0,19.2,395.62,8.67,22.7
0.056,0.0,12.83,0.0,0.437,6.232,53.7,5.0141,5.0,398.0,18.7,386.4,12.34,20.8
0.088,0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4.0,305.0,19.2,383.73,6.72,26.5
0.211,0.0,6.2,0.0,0.504,6.14,85.7,4.0907,8.0,307.0,17.4,387.51,8.1,22.9
0.72,0.0,8.14,0.0,0.498,5.85,78.3,4.089,4.0,307.0,21.0,380.14,14.2,22.0
