V1,V6,V10,V12,V13,V14,V15,Class
3400,-346,2028,476,3,-1120,0,1
362,-1748,20,442,1,-1,0,1
5943,3538,30,526,1,-1120,3,1
35,733,17,1806,648,-1120,0,1
3943,603,20,280,2,-1128,1120,1
34,1202,15,865,2,183,1047,1
3940,2260,18,158,1,-1120,0,1
3119,3820,30,730,1,-1120,0,1
59,7265,12,853,1,1028,0,1
5945,17761,23,526,1,92,3371,1
50,104721,8,763,2,-1,0,1
5850,113744,14,932,3,-1,0,1
51,12762245,20,528,2,-556,0,1
394,1673,15,796,1,-1128,0,1
362,472904,4,707,1,-1125,0,1
54,1207,3021,901,1,-1,0,1
5545,438943,29,668,1,-1,0,1
38,77541,14,902,2,-1,0,1
5952,7094,27,622,5,-1128,0,1
24,3738982,9,526,2,-1120,0,1
38,1528,22,532,1,-1,0,1
2666,0,3,222,6,-1120,0,1
50,46942,14,1604,4,-1,0,1
38,3078,8,1038,1,-1125,0,1
33,1027,13,532,3,-1,0,1
34,2681,19,5745,4,-1,644,1
57,523762,17,734,4,4762,0,1
33,5052,16,394,5,-1120,0,1
4710,43817,22,953,2,-1125,0,1
42,957,1182,412,12,-1,1,1
5770,922,13,8,2,-1120,1125,1
55,8511904,25,4539,1,-1125,0,1
4744,-371,29,232,4,-1,1,1
23,556,27,662,1,-1125,0,1
35,542,3021,158,1,3750,853,1
3940,1027,821,268,3342,-1,0,1
56,161601,8,9,2,-1125,0,1
34,1665,18,1082,551,-1125,709,1
362,419841,28,8,4,-1120,0,1
33,15991120,6,1344,2,-1125,0,1
45,-407,8,1808,5,-1,0,1
33,2047,27,158,1,-1128,0,1
43,419895,26,344,3,188,1049,1
5904,2054,1208,1002,1,-1125,0,1
394,30791,7,1342,1,-1,0,1
54,276544,30,152,0,-1,0,1
58,1138,25,842,1,-1120,0,1
5904,7634401,22,603,3,-1128,0,1
59,332401,23,382,2,-1,0,1
62,4954418053,16,1341,4,-1,0,1
58,2,16,536,2,-1,0,1
3750,4374744,18,1204,3,-1,0,1
3540,902,14,2572,2,-1,0,1
44,63669,15,456,3498,-1,0,1
3622,8,23,1808,3,-1120,0,1
48,5881,20,1536,2,-1128,0,1
2346,1527,6,872,1,-1125,526,1
50,3342,28,553,1,-1120,0,1
6250,3466,19,603,1,-1128,0,1
38,465735,29,1408,2,-1120,0,1
28,2071,16,536,1,-1120,0,1
3852,83845,20,7062,2,-1,0,1
40,7654619082152.0,2,476,1,-1120,0,1
3738,4389,28,474,3,-1,528,1
36,1081,21,138,1,-1125,0,1
52,997,8,48,3,-1,0,1
5740,43742,15,822,1,-1,0,1
3537,10862144,29,609,4,-1125,0,1
394,7062249,13,442,2,-1125,0,1
3738,17062152,8,649,1,-1125,0,1
59,3904,18,892,5,-1120,3,1
362,13461904,18,902,8,-1,0,1
3945,5275,9,135,2,-1128,0,1
4050,2557,27,280,1,-1,0,1
3735,0,2,1202,3,-1125,0,1
411952,2472,17,8,1,-1128,0,1
33,511541,8,154,572,0,0,1
362,383842,27,1406,1,-1,0,1
34,4708,22,268,2,-1,0,1
394,2594,2026,1206,1,-1128,0,1
52,5026,30,462,1,-1,0,1
28,7821951,4,494,2,-1125,0,1
3150,-3250,30,158,4,370,0,1
28,9732101,21,270,1,-1120,0,1
3051,394242,9,882,1,87,4762,1
5968,2228,15,596,6,-1125,0,1
5948,5402,17,1044,1,0,602,1
40,2345,7,4119,2,-1,0,1
52,7094,18,12,2,-1128,3404,1
46,5278744,7,1503,1,-1120,0,1
3540,52857171604,524,5039,2,-1,0,1
35,2139042152,21,1068,1,-1128,0,1
62,543,26,265,2,91,602,1
493,1855,562,239,6,-1125,1120,1
3940,2152,21,263,2,-1120,0,1
3150,5074,21,653,4,-1123,1120,1
53,4250,526,1155,1,-1,0,1
44,250972,30,261,3,264,602,1
3072,874,3,962,2,-1,0,1
38,0,11,6094,1,-3708,0,1
4523,-454,29,495,3,-1,0,1
53,0,19,7098,2,352,0,1
5345,1376112872,18,226,3,104,2,1
4633,1234,24,571,4,-1,0,1
45,4063,14,71857,2,-1,0,1
33,518,6,459,2,-1,0,1
5535,2.79469E+11,13,382,2,-1,0,1
41,0,14,1071,1,-1,0,1
3738,103342,28,1218,4,-1128,0,1
3250,0,1181,26838,1,0,0,1
3550,1528,12,124,1,-1,0,1
4438,0,14,1103,4,-1120,0,1
52,3291,6,765,4,-1,0,1
2572,-378,26,762,3,-1,0,1
34,1081,18,539,3696,-1,0,1
37,2326,19,15872,2,-61,0,1
4119,2326,21,761,3,-1,0,1
4260,1227,22,34150,2,181,3,1
3250,8787224,29,6094,4,181,0,1
37,1093,22,61,1,-1,0,1
3842,2401,21,4005,4,-1,0,1
52,-242,26,237,2,-1,0,1
31,0,19,1230,2,-1128,0,1
2930,699,21,828,2,-1,0,1
3450,1416,3,88,5,-1,0,1
394,30,20,48,2,-1125,0,1
36,0,8,573,3,-1,0,1
36,50811942,4,973,4,-1,0,1
42,2269,1130,149,3,-1,0,1
32,2557,19,232,3,-1,0,1
33,0,8,1028,3,9520,0,1
33,58511904,11,605917,2,-1,0,1
3225,-158,6,902,604,-1,0,1
4538,-941,1202,174,2,175,8,1
4119,104821,18,1202,4,-1,0,1
39,8531776,5,2673,2,-1,0,1
4529,0,13,748,2,0,0,1
37,1047,12,263,1,-395,0,1
38,892,11,7062178,2,-1,0,1
4328,846,1134,394,2,-1,0,1
49,51942,29,775,3,184,0,1
47,1721,26,2047,3242,0,0,1
3051,2152,6,260,4,-1,0,1
46,76543,19,576,1,-395,0,1
3051,362,17,394,576,-1,0,1
3842,0,1536,154,1,-1,0,1
45,7.05818E+11,28,285,2,187,1028,1
5326,644,4,152,2,-1,0,1
34,382,24,476,1,-1120,0,1
3862,4389,1821,865,6,-1,0,1
32,5,8,1228,2,-1125,0,1
26,0,20,61806,2,-1,0,1
4345,4422,25,485,1,-1,0,1
34,0,3028,493,2,-1,0,1
46,2684,19,152,2,-1,0,1
43,26,19,6611904,5,-1027,0,1
3072,0,20,925,1,-1,0,1
3300,0,9,551,1,-1,0,1
