V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,class
0,0,0,0,0.3924,0,0,0,0,0,82.6529,85.6498,35.6707,34.0577,32.36,0,0,1.7436,0,0,0,0,0,0,0,0,1.377,51.8146,0,4.1946,26.9557,1.0166,0,0,0,1.4087,0,0,0,9.4165,-0.0944,0,0,0,57.5134,0,0.2572,0,122.381,0,0,0,0,0,0
0,5417,0,0,0,0,0,0,0.1147,0,0,0,17.0152,0,13.5032,-0.3109,0,-0.407,0,0,1.5263,0,1.4305,0,-0.2081,-0.5138,0,88.6963,1,0,0,0,0,0.2962,0,0,0,0,0,0,0,15.7377,5.6299,0,0,0,0,0,0,0,41.5577,0,0,0,0
0,1125,0,0,0,1979,0,0,0,123.909,0,0,38.9646,0,50.1789,0.3374,0,0,73.5569,0,0,0,0,0,0.2349,0,0,74.0164,0,0,27.9491,0.0818,0,0.4698,0,0,0,0,127.849,23.419,0,0,0,0,0,0,1.0846,0,0,0,0,5.5373,0.0358,0,0
0,0,0,0.9187,0,0.2693,0,0,0,113.92,0,114.34,0,0,0,0,0,0,0,0,8.7998,5.2168,0,0,0,0,0.5177,61.9453,379250,0,0,0.0918,0,0,4.3281,1.6485,0,0,0,0,-0.1207,51.8986,0,107.148,0,0,0.1583,0,0,0,23.2556,0,0.1319,0,0
0,0,0,0,0.4583,0,0.4872,0,0,116.445,0,117.897,0,0,13.9402,0,0,-0.2393,0,0,0,0,0,1.212,-0.0573,0,0,0,0,-11.8862,0,0,0,0.1528,0,0.0171,85.5586,0.3542,0,0,0,35.1663,15.6362,0,0,0,0,0,0,0,0,0,1,1125,0
0,0,0,0,0,1125,0,0,0.3973,0,0,0,55.7055,45.8967,0,0,1.7338,0,0,0,0,0,0,6.5996,0,-0.0854,0,0,0.4156,3.1894,15.0541,0.4127,0,0.0916,0,-0.7525,0,0,0,0,0,0,11.8,0,19.7134,0,0,0,0,-0.6362,41.8797,10.4367,0,0,0
4410,3812,0,0,0.0673,0,0,0,0,0,80.6267,0,0,0,0,0,0,1.3298,0,0,0,11.2633,0,0,0,0,2.1631,72.584,0,10.7969,25.9441,0,0,0,0,1.0285,0,0,88.496,0,0.6621,41.7367,0,0,0,0,14.04,0,0,-0.5936,40.2946,0,0,0,0
0,0,0,0,0,0,0,695,0,122.435,123.443,0,0,0,19.4174,0,1.9076,2.4769,0,-1,-3.6168,0,0,4.9393,0,0,-0.2933,0,1.5918,0,27.4868,0,0,0,0,-0.501,0,0,0,0,0,0,0,91.8966,44.5762,0,0,0,110.134,0,0,10.9955,0.0037,0,0
0,1,0,0,0,0,0.1567,0,0,110.346,0,0,0,14.6946,0,0,0,3.9376,0,0,24.3391,4.1265,0.9044,2.3637,1.2817,-0.3074,0,0,0,-1.8441,0,0.4136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3894,0,0,95.3558,0,6.6707,0,0.0797,0,0
2.0577,0,0,0,0,1.0302,0.255,0,0,0,0,0,25.0976,0,0,0,0,0,0,0,0,0,0.9854,1.1464,0,0,1.8267,0,0,0,40.47,0,0,0.2184,1.0653,0,96.7812,0,0,18.8906,0,53.8579,0,0,22.4164,0.5189,0,0,126.662,0,0,0,0.1533,0,0
