fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
0,0,2.8535,0,0,0,0,0,9.48803,194.037,0
28.3901,0,0,0,0.2678,17.1479,0,-9.5453,48.4412,0,0
0,0,0,0,0,1.524327,0,7.00962,10.0478,129.999,0
0,0,0,0,0,8.639,0,-4.122,25.158,178.577,0
0,0,0,0,0,18.5977,0,4.0574,0,0,0
29,0,2.41892,0,0,-40.1283,-29.0764,0,4.3492,166.186,0
24,6.2692,2,0,0,0,0,0,10.529,0,0
0,13,3.17341,0,0,14,0,0,4,186.157,0
0,0,2.2975,0,0,-19.6433,0,0,75.0987,0,0
0,0,2,0,0,-10.2333,0,0,0,1731980,0
28.0187,0,2.54492154,0,0,0,0,0,3.9074,0,0
0,0,2.4108,0,39308910803220.0,0,0,0,67.714,166.817,0
0,0,2.4527,0,0,0,0,-7.1368,1.1815,0,0
31.049,0,0,0,0,0,0,0,0,143.988,0
0,0,0,0,0,7.2022,-17.0991,0,44.9172,168.818,0
19,0,2.6795,0,0,-24.7459,0,0,0,193.347,0
0,0,2.991,0,0,58,0,-14.1887,29.209,2392200,0
0,0,2.56671,0,0,-13.4253,0,0,40.2693,0,0
47.5936,0,0,0,0,0,0,0,10.3575,220.917,0
0,0,2.4362,0,0,0.2947,-15.0533,0,0,221,0
0,0,2,0,0.3122,18.5164,0,0,6.338,159.293,0
0,11.69091,0,0,0,0,0,0,1.149,214.264,0
0,0,0,0,0,-9.5453,0,0,14.189,223.794,0
0,0,3.1083,0,0,0,0,0,0,0,0
485.7582,0,3.4536,0,0,15.7284,0,8.6415,14.8191,0,0
0,0,2.4073,0,0,0,0,0,0,177.207,0
0,0,2.9933,0,3821505280,0,-11.5581,0,81.8116,198.696,0
3719.94782,0,3.0127,0,0,-25.5078,0,0,39.3918,221.347,0
1930.6144,12.83781,2,0,0,18.3594,0,0,10.901,0,0
0,0,2.5123,0,0,0,0,0,4.0471,182.338,0
0,8,2,0,0,0,0,0,37.163,189.72,0
18.82891,0,2.3367,0,0,9,0,10,6.9371,0,0
0,0,2.4308,0,0,-51.6368,0,0,3.9012,0,0
0,0,2.403,0,0,-22.94484,-14.0481,0,26.877,138.1593,0
0,0,2.6123,0,0,0,0,-9.8497,6.7407,0,0
35.2993,0,0,0,0,0,0,7,0,182.797,0
0,0,2,0,0,0,16.14864,0,0,0,0
0,0,2.488,0,0,19,-27.0943,0,81.7491,0,0
41.0112,0,2.5294,0,0,19,0,9,1.6789,0,0
0,22,0,0,0,0,0,0,1.8702,0,0
0,0,2.8494,0,0,0,-6.5471,0,0,0,0
0,0,0,0.4884,0,0,0,0,1.341,179.869,0
0,0,0,0,0,0,0,-11.5885,23.1203,0,0
0,12210041,2.71791,0,0,-6.9153,-13.4037,0,0,157.036,0
3326.939,0,2.7783,0,0,0,0,9.0991,0,159.877,0
0,17.7835,2.642658,0,0,-33,-31.5116,0,4.739,158.949,0
0,0,2,0,0.2785,0,0,17.8247,0,184.66,0
35.8113,0,2.7407,0,0,0,4.06891,0,47.402,0,0
0,0,2,0,0,13,0,19.7116,4.696,0,0
0,0,2.289,0,0,-34,-45.3622,0,12,236.588,0
57.6726,0,2.7235212,0,0,0,0,-14.8117,5.2387,182.959,0
5510.773,0,3.0168,0,0,-28.2397,-45.3941,0,87.5565,2282.4948,0
0,0,2.7944,0,0,4.3846,0,3.347,0,147.053,0
0,0,0,0,0,0,0,0,25.4142,177.049,0
21,0,0,0,0,0,0,0,67.627,221.788,0
0,0,0,0,0,0,-11.1655,0,0,19318.969,0
0,0,2.952,0,0,19,0,-9.7074,22.643,0,0
0,0,2.4068,0,0,-22,-19.23997,0,6.0597,0,0
0,0,0,0,0,0,-10.9371,0,0,194.408,0
0,33.3934,0,0,0,16.8378,0,0,55.8043,235.272,0
20,10.8363,3.0103,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-10.1679,43.2593,0,0
2930.0147,0,2.6927,0,0,0,0,8,0,196.549,0
0,91033.8255,0,0.4948,0,0,0,0,38.717,190.583,0
0,0,2,0,0,-18.9837,0,0,4.44786,0,0
0,0,2.1789,0,0,0,0,-8.6783,3.243,109,0
21302090,0,2.9497,0,0,0,-14.9909,0,33.8362,0,0
0,0,3,0,0,0,-8.6871,0,6.408,0,0
0,0,2.8498,0,0,44.3327,0,-10.6937,80.617,193.113,0
0,0,2.6309,0,0,-39.5018,0,0,12.476,238.9918,0
0,0,2,0,0,0,0,-5.6149,0.556,0,0
0,0,2,0,0.3068,14.0672,27.9193,0,60.4117,0,0
0,0,0,0,0.1164,4.7527,0,3.4785,14.131,174.607,0
0,0,2.5709,0,0,-9.7391,-12.0672,0,18.258,159.205,0
402102.51,0,0,0,0,-6.1474,0,0,5.64189,225.739,0
0,0,2,0,0,6.4254,0,-7.0481,41.295,181.098,0
0,0,2,0,0.2461,-827.9074,-11.4149,0,0,184.266,0
0,0,2.2966,0.467,0,-7.5123,0,0,0,154.164,0
0,0,2.286,0,0,14,0,0,0,204.351,0
0,0,2.7178,0,0.2494,5,0,0,6.818,0,0
0,0,2.3146,0,0,0,26.554574,0,6.0098,204.148,0
0,18,0,0,0,-24.7494,-13.54832,0,0,212.602,0
0,0,0,0,0,14.91892,0,0,8.454,0,0
0,0,2.5845,0,0,0,-8,0,0,178.243,0
0,0,2.336,0,0,29.5967,0,-25.9152,43.493,273.244,0
0,0,3,0,0,-45.1387,0,0,0,195.582,0
0,0,2.2317,0,0,0,0,0,4.4599,179.355,0
0,0,2.4594,0.6154,0,0,0,0,1.367,0,0
0,0,2.6034,0,0.144,4,0,0,81.4372,214.807,0
0,10.9081,2.3984,0,0,0,11,0,21.0783,0,0
0,0,3.3798,0,0,0,0,11.7494,2.1885,0,0
27.6576,0,2,0,0,1.7539,0,0,2.2973,0,0
0,0,2.1767,0,0,4,0,0,55.1075,182.248,0
0,0,0,0,0,-0.1664,0,6.68761,0,0,0
0,0,2.7026,0,0,23.2478,0,0,0,171.927,0
0,0,0,0,0,0,0,5.0058,9.348,195.752,0
35,0,2,0,0,19.2656,0,-12.6737,1.6122,135.539,0
0,0,3,0,0,0,33.0194,0,0,0,0
50,0,3,0,0.2049,27.3587,0,-2.3376,87.139,0,0
60,0,2.3426,0,0,0,0,0,28.688,0,0
0,0,2,0,0,0,0,0,19.007,189.598,0
0,0,2,0,0.2937,20,0,0,1.348,190.657,0
0,0,2.849431305727805,0,0,-14.35762,0,0,0,0,0
68.7449,0,3,0,0,0,0,17.79072,2.37,235.662,0
0,0,2.4172,0,0,14.3634,0,-8.1859,35.7204,135.148,0
0,0,3,0,0,37.4236,0,-15.9179,1.5453,0,0
0,0,3.8149,0,0,0,0,0,21.3301,220.953,0
0,0,2.478,0,0,0,0,0,1.1045,0,0
35.7709,0,2.640139,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,54.584,142.782,0
29.3678,0,0,0,0,0,0,0,17.6829,0,0
2230.807,0,2.5958,0,0,0,0,0,11.929,0,0
0,0,2.9203,0,0,0,0,0,7.7018,168.816,0
0,0,2,0,0,-28.9372,0,0,28.59392,0,0
0,0,2,0.3575,0,26.8449,0,9.1483,51.496,0,0
0,0,2,0,0,0,0,0,22.587,142,0
0,0,2.6209,0,0,0,0,0,0,173.004,0
0,0,2.3595,0,0,29,0,0,0,196.589,0
0,0,2.7838,0,0,-1247.5961,0,0,81.074,187.332,0
0,8,2.9012,0,0,0,0,0,0,174.8148,0
0,0,0,0,0,0,0,0,16.649,181.294,0
0,0,2.4342,0,0,0,0,0,10.554,0,0
0,0,3.3858,0,0,-54.7347,0,0,10.9062,0,0
0,0,0,0,0,0,-12,0,15.644,235.717,0
33.9845,0,2.2982,0,1.6172E+11,15.5145,0,10.1574,0,174.727,0
0,0,2.5494,0,0,-44.8189,0,0,0.129,161.097,0
0,0,2.6432,0,0,0,0,0,3,139.27,0
0,0,2.5797,0,0,0,-14.5147,0,1.1578,174.07,0
0,0,2.4303,0.362271,0,0,0,-7.4866,3.057,173.678,0
21,0,2.8123,0,0,-19,0,0,0,196.696,0
0,0,0,0,0,-28.5017,2464.698,0,0,0,0
0,0,2.1639,0,0,0,-10.1429,0,3.6034,154.408,0
0,0,2,0,0,0,0,0,24.807,178.58,0
81,0,0,0,0,0,0,0,44.7347,295.593,0
0,0,2.17491,0,0,-4710.5838,0,0,14.3786,168.233,0
0,0,2,0,0,0,36.6363,0,3.171,173.144,0
0,0,2.5575,0,0,-21100.36,0,2,21.485,181.033,0
3110.2717,0,2.68452,0,0,0,0,0,0,197.476,0
0,0,2.99074,0,0,1332.5933,0,14.4906,17.679,0,0
0,0,3.71392,0,0,0,-26.0245,0,0,0,0
0,0,0,0,0,1666.617,0,0,1,0,0
0,0,2.5899,0,0,26.9012,0,-8.0928,43.6309,224.394,0
0,0,2,0,0,0,0,10.8482,0,174.473,0
0,0,0,1128.391,0,29.5179,0,-7.4194,10.494,194,0
0,0,3,0,0,23,0,0,2.0684212,235.948,0
0,0,0,0,0,37.9171,0,0,5.2412,212.307,0
0,0,2.7709,0,0,0,-2.5472,0,11.3378,0,0
27.3469,33,0,0,0,14.0568,0,-13.803,47.5911,193.641,0
0,0,2.3798,0,0,0,0,-12.5494,4.7543,0,0
0,0,0,0,0,-54.6413,-55.7491,0,6.5933,229.774,0
0,0,0,0,0,0,-26.9078,0,81.2372,162.614,0
0,9.9449,2,0,0,44.7542,0,8.6702,34.557,158.212,0
0,0,2.7955,0,0,24.6794,-15.7452,0,19.758,179.624,0
0,0,2,0,0.0928,13,5.4878,0,12.6019,184.74,0
0,0,2.368,0,0,-26.7449,-38.3567,0,1.869,0,0
0,0,3.2099,0,0,-33,0,0,0,0,0
2930.5887,0,2,0,0,-13.817,0,0,3.6827,194.7405,0
0,0,2.8799,0,0,-22.5017,0,0,0,0,0
0,22.0371,2.5723,0,0,0,0,18.302,0,179.781,0
0,0,2.573371,0,0,0,0,0,0,135.988,0
0,0,3.1635,0,0,0,362160.128,0,38.514,263.237,0
21,0,0,0,0,34.131,0,-9.6727,0,0,0
23.7595,0,2,0,0,0,0,0,0,173.641,0
0,0,2.6017,0,0,-11.2389,0,0,0,218.71,0
362159.595,0,0,0,0,0,0,0,43.919,178,0
40.2636,0,2,0,0,1.8371,0,0,0,0,0
32.0595,0,0,0,0,24,25.5834,0,0,235.267,0
0,0,2.9875,0,0,-9.1586,0,9,8.8253,235.679,0
0,0,3.1423,0,0,13.0564,-7.4304,0,0,0,0
0,0,2.907564,0,0,41,0,0,17.471,173.29,0
0,0,2.7059,0,0,14,0,0,40.7149,0,0
0,0,2.9494,0,0,0,0,0,11.245,174.458,0
20.019112,0,0,0,0,-17,-14.6495,0,2.469,0,0
0,0,2.54542,0,0,0,0,0,87.1221,0,0
0,11.8497,2,0,0,0,0,0,25.353,0,0
77.3875,0,3.2403,0,0,57.6768,0,0,55.6562,0,0
22.9462,0,2.4067,0,0,0,0,0,18.798,171.612,0
0,0,0,0,0.2044,0,-19.7584,0,9.686,182.557,0
35.0156,0,2.476,0,0,0,0,0,0,0,0
0,0,2.5139,0,0,0,9.57862,0,40.8149,0,0
0,0,0,0,0,0,0,0,13.136,194.338,0
30.6887,0,2,0,0,25.8037,0,1.4539,3.9593,173.72,0
32,0,2.0702,0,0,0,0,0,0,236.457,0
0,0,2.0488,0,0,0,0,18.8189,6.912,212.756,0
0,0,0,0,0,0,-11.006,0,84.64533,188.012,0
0,18,0,0.66962,0,-38,0,0,0,0,0
0,0,3,0,0,-39.9449,0,0,11.218,162.793,0
0,0,0,0,0,0,-14.7567,0,4.4976,195.997,0
0,0,0,0,0,-18.4084,-5.3338,0,0,2256800,0
0,0,0,0,0,14.4766,0,0,4.391,0,0
0,0,0,0,0,3,0,0,0,142.656,0
0,0,0,0,0,0,0,0,4.1499,167.694,0
0,0,0,10.1491,0,0,0,0,6.558,227.814,0
0,0,2.994,0,0,0,0,0,11.586,197.799,0
2064.7116,0,0,0,0,0,18.0799,0,16.5407,0,0
0,0,2.6427,0,0,20.4253,0,-8.7116,36.345,0,0
0,0,2.5142,0,0,4.1741,0,0,0,139.153,0
0,10.07062,2,0,0,0,0,7.8157,0,158.677,0
0,0,3,0,0,0,0,0,0,178.144,0
0,0,3.40892,0,0,0,-9.0371,0,0,182.393,0
0,0,2.2414,0,0.3201,55.2583,-80,0,8.8149,273.524,0
0,0,2,0,0,0,0,0,0,1737060,0
0,0,2.9072,0,0,-33.0206,0,0,4.6834,0,0
0,0,2.4828,5442.591,2.0646,0,0,0,1.718,158.942,0
0,0,0,0,0,0,0,9,0,225.602,0
25.9076,0,0,0,0,1.69762,0,0,0,171.405,0
0,14,0,0,0.0284,-14.8146,0,0,3.5151,143.91,0
0,0,2.3784,0,0,0,-17.9452,0,17.512,0,0
0,0,0,0,0,0,43.0483,0,12.9017,177.296,0
33,0,2.5179,0,0.1599,0,0,0,0,0,0
0,0,0,0,0,7.8113,0,0,13.353,188.274,0
0,0,0,0,0,8.0494,0,0,0,158.248,0
0,0,0,0,0,0,-10.7787,0,80.677,157.059,0
0,0,2.66923,0,0,0,0,0,38437180,138,0
0,0,0,0,0,0,0,0,3.9072,168.744,0
0,0,0,0,0,-22.8172,0,0,0,121.391,0
84.1541,18,0,0,0,0,0,11,20.519,227.692,0
25.0175,0,2.6627,0,0,11.9076,0,-4.8702,17.983,221.098,0
0,0,2.6149,0,0,43,31,0,0,179.939,0
0,0,2.5867,0,0,-10.5045,-15.8193,0,6.80962,204.418,0
29.1564,0,0,0,0,6.7027,0,0,0,0,0
0,0,2.6536,0,0,2.2919,0,0,0,188.814,0
0,0,2.5244,0,0,5,0,0,0,190.173,0
33,0,0,0,0,0,0,0,4.8571,187.581,0
0,9,2.7085,0,0,14.0786,0,0,21.142,0,0
0,0,2.5204,0,0,13.5826,0,0,0,154.274,0
0,17.8157,0,0,0,0,23.1877,0,3.1437,143.678,0
0,0,2.2149,0,0,38,0,0,3.027,173.74,0
0,0,3,0,0,0,0,0,6.172,173.266,0
0,0,3.0066,0,0,-19.1623,0,0,2.246,224.593,0
0,0,2.6191,0,0,0,0,0,39.0187,0,0
0,0,0,0,0,0,0,0,391.355,235.983,0
0,0,0,0,0,0,0,0,6.455,143.64302,0
19,0,0,0,0,-8,-22.5494,4,3.9994,0,0
0,0,0,0,0,0,8.5498,0,21.7715,197.054,0
0,0,2.9581,0,0,0,13.1655,0,12.896,178.947,0
0,0,2,0,0,0,11.8055,0,0,179.591,0
30,0,2.2778,0,0,5461771,-28.4108,0,4.675,2192.1455,0
126.927,0,3,0,0,0,0,-31.5011,38.987,173.35,0
0,0,2.42842,0,0,45.0566,0,-10.8472,15.7709,0,0
0,0,0,0,0,0,0,0,1.804,181.147,0
0,0,2.2823,0,0.1693,-45.014,0,0,89.79,194,0
0,0,2,0,0,0,-17.39042,0,13.873,190.644,0
0,0,2.7866,0,0,0,0,0,8.419,0,0
0,0,2.5766,0,0,-33.8148,-28.1722,0,80.42,0,0
23.8581,10,0,0,0.2879,0,0,0,0,0,0
0,0,2.94052,0,0,0,0,0,38.234,227.878,0
40.3956,0,2.6769,0,0,0,0,0,4,194.559,0
46.2147,0,2.8363,0,0,0,0,0,0,223.727,0
0,41,0,0,0,-15,-33.458,0,8.181,188.272,0
0,0,2.802378,0,0,0,0,0,87.6747,223.705,0
0,0,2.1651,0,0,-7.2697,0,0,0,214.0663,0
0,0,2,0,0,0,0,0,0,168.917,0
0,0,0,0,0,-14.6379,0,0,7.0766,157.131,0
2464.155,0,2.4839,0,0,0,0,0,20.4075,171,0
28.5123,1864,0,0,0,0,0,0,0,0,0
28.1384,0,2,0,0,-16.4096,0,3.9243,0,0,0
0,34.0684,3.5303,0,0.131,-83.188,-64.6608,0,0,0,0
36.99042,0,2.6702,0,0,0,0,0,0,168.309,0
0,0,3.6914,0,0,23.2656,-13.156,0,81.125,188.367,0
0,0,2.2064,0,0,0,0,9,33.779,0,0
0,0,2.7571,0,0,-17.9381,-0.1522,0,31.0178,184.699,0
43.4826,0,0,0,0,0,391.6604,0,0,2031280,0
24.4548,0,2.5116,0,0,0,0,0,2.5716,0,0
0,0,3.3883,0,0,0,0,0,4.819,235.017,0
0,13,0,0,0,3500.0787,0,0,1.9171,159.204,0
0,17,2.9938,0,0,13.9453,0,0,0,188.308,0
28.4236,0,2.3533,0,0,-24.0564,0,0,0,225.817,0
0,0,2.2099,0,0,-2.9072,0,0,28.246,221.261,0
19,0,0,0,0,0,0,0,2.4193,159.009,0
0,0,2.6929,0,0,-735.2123,-10.174,0,1.935,179.038,0
0,0,0,0,0,0,0,0,10.168,179.176,0
0,0,0,0,0,47.071,0,0,14.42,171.307,0
0,0,2.84972,0,0,0,0,0,0,214.247,0
41,17,3,0,0,0,0,0,1.2755,0,0
0,0,0,0,0,0,0,0,1.7702,184.239,0
0,0,3,0,0.2219,5.9381,0,0,44.64915,0,0
24.5847,0,2.278,0,0,13.9354,0,0,0,0,0
0,0,2,0,0,0,0,0,5.4901,0,0
0,0,2.1087,0,0,42.9152,-16.62782,0,0,168.3665,0
0,0,2.91932,0,0,16.9867,0,0,0,185.472,0
0,0,3.1234,0,0,-88.1839,-64.8048,0,5.4775,0,0
22,11,0,0,0,0,0,0,0,190.238,0
29.5228,0,2.1295,0,0,14.5543,0,15.3393,81.8079,0,0
0,0,0,0,0,-20.6209,-17.1635,0,0,0,0
24,0,2.3339,0,0,14.7865,0,0,0,0,0
0,0,2.8472,0,0,-23.407,0,0,0,0,0
0,0,3,0,1.2899,-55.106,-37.8296,0,14.243,0,0
0,0,2.6039,0,0,0,0,0,0,186.859,0
0,0,0,0,0,28.14,0,-7.5866,6.577,187.984,0
1238.0596,0,0,0,422409,0,0,-9.0799,0,190.132,0
0,0,0,0,0,0,0,0,0,193.347,0
0,0,2.5193,0,0,22,0,-9.8483,84.2102,226.473,0
0,0,2.516,0,0,4108.13,0,0,3,0,0
16.8332,0,0,0,0,15.0904,1328.2064,0,0,188.619,0
0,0,2,0,0.0907,0,0,7.9952,0,0,0
0,11.6436,0,0,0,-45,0,0,6.259,148.334,0
29.6363,0,2.3364,0,0,0,0,0,25.9011,0,0
0,0,2.9072,0,0,44.2616,381939.9988,0,0,263.827,0
0,0,3.013,0,0,31,0,0,2.594,218.609,0
0,0,2,0,0,0,0,0,0,181.617,0
26.6836,0,2,0,0,14.3956,0,8.6349,0,0,0
38.7193,0,2.0133,0,0,0,0,0,0,0,0
23.9085,0,2,0,0,0,0,0,35.008,187.305,0
2560.9063,0,2.84781,0,0,-21.4254,-2.7253,0,4.6904,0,0
0,0,3,0,0,0,0,0,15.2826,182.644,0
36,19,0,0,0,34.0034,0,0,11.334,189.81,0
0,0,2,0,0,-11.0792,-32.8253,0,4.588,171.034,0
41,0,0,0,0,4.1439,0,0,15.3374,185.156,0
0,0,0,0,0,23.4798,0,0,0,166.133,0
0,0,2.4475,0,0,-2216.2667,0,0,9.639,221.174,0
0,0,2.3593,0,0,15,0,-6.7446,0,0,0
0,0,2.9947,0,0,0,-25.4074,0,0,0,0
0,0,0,0,0,0,58.5201,0,36.277,181.361,0
0,0,2.5471,0,0,0,0,0,23.0797,161.597,0
0,0,0,0,0,8.5859,32,0,0,204.607,0
0,11.84981,2.5527,0,0,0,6.54494,0,0,166.583,0
0,0,2.5497,0,0,-172745.2895,0,-10.1849,3.129,171,0
0,0,2.6667161,0,0,0,0,0,22.83902,0,0
0,0,2,0,0,-8.8054,0,0,0,162.055,0
0,0,0,0,0,-20.7197,-16.688,0,4.619,174.57,0
0,0,2.3692,0,0,12.9372,0,-5.2691,3.1143,0,0
19,0,0,0,0,4,0,0,0,175.591,0
0,0,2.7533,0,0,0,32,5.8471,3.53902,227.164,0
31,0,0,0,0,25.8172,0,0,44.0676169,154.969,0
0,0,0,0,0,15.0666,0,0,28.016,158.308,0
0,0,2.9172,0,0,0,0,-10.5735,6.6938,188.804,0
28.1417,0,3,0,0,0,0,-11.5901,22.571,0,0
16.757039,0,0,0,0,0,0,0,3.7923,187.129,0
0,0,0,0,0,22,16.0702,0,0,177.939,0
0,0,2.2392,0,0,0,-11.1856,0,0,0,0
0,0,2.3948,0,0,1.3445,0,11.5577,0,154.017,0
0,0,2.9385,0,0,0,0,0,10.217,214.078,0
0,0,3.42842,0,0,0,-38.9071,0,15.599,0,0
0,0,0,0.59,0,0,0,0,3.271,0,0
0,0,3.2791,0,0,-22.798,-46.3487,0,5.8142,0,0
0,0,2.6727,0,0,0,2.4167,0,17.751,188.949,0
0,0,0,0,0,0,41.24071,0,14.0152,177.135,0
0,0,2.5701,0,0,-17.0045,0,0,16.642,0,0
0,0,2.4123,0,0,-293685,-26.5591,0,60.8180212,0,0
24.1556,0,2.4414,0,0,0,0,-10.9071,0,218.794,0
0,0,3,0,0,12.8077,-16.0758,0,0,214.019,0
392.6139,0,2.4527,0,0,41.9959,0,0,0,184.05,0
22.3436,0,0,0,0,14.6089,0,0,1.7567,0,0
0,0,0,0,0,26.2634,0,-2.9149,0,159.818,0
0,0,2.0488,0,0,0,-22.5839,0,18.078,197.51,0
21,0,0,0,0,0,0,10,0,139.604,0
0,0,2.616,0,0,0,0,0,41.751,201.354,0
0,0,0,0,0,20.5055,0,0,4.782,167.376,0
0,0,3.2191,0,0,0,34.8117,0,2.61,206.518,0
0,10,0,0,0,0,-17.8172,0,75.054,0,0
0,0,0,0,0,14.7838,0,-12.8391,7.997,0,0
0,0,2.1854,0,0,7.7702,0,0,0,0,0
0,0,0,0,0,-39.9942,0,0,6.675,220.037,0
0,0,2.5123,0,0,-47.488,-25.3901,0,13.9582,198.073,0
0,0,2.4028,0,0,0,0,0,0,187.246,0
0,8.4838,0,0,0,0,0,0,3.7864,184.41,0
23,0,2.7567,0,0,0,-9.0977,0,8.4784,167.333,0
29.6775,0,0,0,0,0,0,11.164,4.15962,236.807,0
0,0,2.7868,0,29236101406034.0,-13.5077,0,-10.7189,0,0,0
0,12,0,0,0.1667,-6.9082,1920.8033,0,13.849,175.147,0
0,11,2.9077,0,0,33,13.3469,0,37.6241,0,0
0,0,2.4948,0,0,0,17,0,10.055,188.607,0
0,0,2.80292,0,0,0,0,0,0,0,0
0,26.0975,2.8581,0,0,3.7332,-40.6789,0,8.4173,236.139,0
0,0,2.2394,0,0.3174,-2.1601,0,0,5.392,0,0
0,0,2,0,0,0,15,-5.1593,39.4362,171.059,0
0,0,0,0,0,6.5842,0,-11.3579,51.4368,0,0
34.9497,10,3,0,0,0,0,0,9.0515,0,0
0,0,2.4583,0,0,14,0,10.3667,21.629,201.23,0
