lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
0,0,0,119,0,0,0,0,621.7295,64.9057,60.0841,0,0,0,0,1.1383,0,0.0154,3,1,0
0,0,0,0,99,139,0,0,0,74.5766,0,179,0,0,0,0.179,0,0.0154,0,5,0
0,336,0,199,0,0,0,0,1363,0,41.274788,0,219,0,636,0,0,0,0,3,0
0,57,0,0,0,0,546.5353,0,0,45.7824,40.63353,0,0,0,0,0,0.2377,0,1,3,0
0,0,0,0,0,0,124.5441,0,73.6154,0,79.8809,278,0,0,0,0,0.165,0,1,3,0
0,0,0,0,0,0,100.6262,0,0,6750,65.0789,0,0,0,0,0,0,0.0182,0,1,0
1613,203,0,0,0,0,0,0,0,62.6017,0,0,149.5,0,0,0,0.103667,0,0,0,0
1130,0,199,0,139,1194,0,0,0,482.1487,63.1882,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,99,0,0,0,0,46.4065,0,0,0,238,0,0,0.0171,0,1,0
9064,0,119,0,278,0,0,0,0,85.959,86.603575,0,139,437008099,0,0.2082,0.1581,0,5,2,0
0,0,0,219,0,298,0,0,0,0,42.8116,0,0,0,477,0.0769,0,0,3,2,0
0,165,0,0,179,1193,0,0,0,0,43.83943882,0,0,0,0,-0.1095,0,0,0,3,0
0,136,0,0,298,99,0,0,0,52,55.0794,119,0,338,0,0,0.4096,0,0,2,0
0,1533,0,0,0,0,0,0,0,73.5471,89,0,109.5,0,0,0,0.3512,0,0,2,0
0,336,0,0,0,0,0,475.9817,0,11.2771,0,0,179,0,0,0.1395,0,0,0,3,0
0,294,1391,0,0,0,0,0,0,57.6103,56.4118,0,0,2370,0,0,0.1344,0,0,5,0
0,0,0,0,0,0,0,0,109.4094,5250,48.2876,0,0,1171,119,0,0.1286,0,0,3,0
0,308,0,0,278,0,0,0,0,0,49.7705,0,0,2.63341E+11,0,0.0782,0,0,8,1,0
0,0,0,0,119,0,0,0,0,59.4123,63.649,0,0,17903,0,0.266,0,0.0242,0,3,0
10762,227,0,0,0,139,83.0651,0,0,31.4154,0,0,0,477,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,751.6461,57.1329,47.6973,0,80,0,0,1.0395,0,0.0148,0,2,0
0,0,119,0,0,0,0,0,0,77.5047,75.6178,0,0,0,0,0,0.3475,0.0184,4,3,0
7061,0,0,0,0,0,0,573.6543,0,76.6134,69.9283,0,0,0,0,0,0,0,1,0,0
0,227,0,0,179,0,0,0,0,0,51.749,0,0,798,0,0,0.152787,0,0,3,0
0,0,0,0,0,0,0,0,488.5124,49.6121,52.5592,0,179,637,0,0,0.2543,0,0,2,0
0,0,0,0,119,1991,0,0,0,0,55.9452,0,0,4176552128650.0,0,0.1041,0,0.0425,0,6,0
0,148,0,0,0,0,0,0,144.648616,0,362.4262,0,0,0,0,0.1767,0.1523,0,6,2,0
0,0,0,0,259,139,0,0,0,0,58.7817,0,0,0,0,0.1682,0,0.0139,0,1,0
0,0,0,159,0,139,0,0,0,62.501,58.5788,0,99.5,0,0,0,0.1881,0.0227,0,2,0
0,0,0,0,278,0,0,0,0,48.5118,52.96572,0,0,298,0,0.1526,0,0,4,3,0
0,2214,20,0,0,0,0,114.5249,0,61.5055,73.5464,0,0,0,0,0.2396,0,0,3,8,0
0,0,0,199,0,0,0,0,0,50.8394,44.2104,0,198.5,995,0,0,0.3022,0,7,1,0
0,185,0,0,258,199,0,0,0,55.5983,0,0,129.5,0,0,0,0,0,6,0,0
0,311,0,0,139,99,0,0,0,55.011958,0,0,0,318,0,0,0.2365,0,7,0,0
0,0,0,0,0,258,0,0,0,72.4818,68.7809,0,89.5,0,0,0.2126,0,0,1,0,0
8462,0,0,0,0,0,148,0,0,0,0,0,0,4771,0,0,0.2275,0,5,1,0
0,289,0,0,0,0,0,0,0,38.7001,40.4189,0,0,0,0,0.0566,0.2618,0,6,3,0
0,308,0,139,0,80,0,0,0,0,0,0,0,0,0,0,0.1445,0.0276,2,4381,0
0,0,0,0,0,199,0,0,0,73.5015,92.6058,0,0,6160215,0,0.1356,0,0,1,0,0
0,0,0,0,119,0,0,0,0,0,9110.0084,0,0,338,0,0,0.2315,0,4,1,0
0,0,0,80,0,0,0,0,0,60.6018,61.9462,0,0,4574,0,0,0.1204,0.0242,0,6362,0
0,0,0,0,0,0,0,0,0,36,48.1208,0,0,576,0,0.132,0.145,0,1,2,0
0,0,0,139,0,219,0,0,0,482.6231,0,0,99.5,0,11943695,0,0,0,4,0,0
0,0,139,0,239,0,0,0,0,0,0,0,0,0,935,0,0.1612,0,2,1,0
0,0,0,0,0,0,0,0,0,75.2402,86,0,0,27894,0,0,0,0.0445,6,4,0
0,153,0,0,0,0,0,0,0,0,62.02382600559736,0,159,0,338,0,0,0,7,3,0
0,0,0,139,0,0,0,0,0,75.2085,71.9659,0,0,258,0,0,2.2677,0.0208,4,3,0
0,168,0,0,0,99,0,683.6391,0,0,40.4095,0,0,0,3583,0.1177,0,0,1,3,0
0,0,0,0,0,0,0,0,0,71,69.0841,3383,0,0,0,0.0786,0,0,10,1,0
