date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.0042,0,0.0748,0.2913,0.0035,0.4229,0.0438,0 
0.8682,2979,0.0272,0.3813,0.0018,2180,7044,1 
0,3404,0.063,0.4311,0.0035,0.4149,0.4149,1 
0.8903,4468,0.0295,0.5951,0.002,0.5337,0.4842,0 
0.0099,2979,0.0427,0.4475,0.0035,0.4229,0.4149,1 
0.4423,5319,0.054,0.5181,0.0035,0.4229,0.4149,1 
0.894,0,0.0552,0.5329,0.0037,0.5337,0.3912,1 
0.0131,5319,0,0.4397,0.0035,0.4229,0.4149,0 
0.4423,8511,0.0437,0.5543,0,0.4381,0.5693,1 
0,1,0.0748,0.4256,0.0035,0.0426,0.4149,0 
0.0177,85,0.0821,6561,0.0055,0.4881,7039,1 
0.8804,3404,0.0301,5340,0.0028,6572,0.4487,1 
0.001,0.4468,0.0479,0.5165,0.0035,0.4229,0.4149,1 
0.0266,6809,0.0794,0.514,0.0035,0.4229,0.4298,0 
0.4299,3404,0.0517,2925,0.0035,0.4229,0.4228,0 
0.4255,2979,0.0584,0.487,0.0035,0.4229,0.4149,1 
0.439,3617,0.044,0.5582,0.0035,0.4229,0.4149,1 
0.4294,8723,0.0748,0.4226,0.0035,0.4229,0.4149,0 
0.0136,3404,0.0748,0.2697,0.0035,0.4,0.4149,0 
0.0099,8936,0.0416,0.4216,0.0035,0.4229,0.4149,0 
0.4423,3404,0.1061,7680,0.0067,0.5938,0.3724,0 
0.9115,0,0.0443,0.2126,0.0035,0.341,0.6316,1 
0.8675,0.6383,0,0.4148,0.0599,0.4942,0.5829,0 
0.434,2340,0.0408,0.3311,0.0035,0.4229,0.4149,1 
0.0313,0.4894,0.088,5921,0.0035,4414,0.4149,1 
0.0222,2979,0.082,0.383,0.0035,0.4229,0.4149,0 
0.4337,5319,0.0505,0.3078,0,0.4229,0.4149,1 
0.8936,0.65,0.0628,0.4646,0.0046,0.5432,0.3789,0 
0.0274,0,0.0748,1,0.0035,0.4229,0.4149,0 
0.0142,6596,0.0595,0.4002,0.0035,0.4229,0.4149,0 
0.0142,1,0.0458,4423,0.0035,0.4229,0.4149,1 
0.4252,2979,0.0624,0.2351,0.0035,0.3618,0.4434,0 
0.4424,2553,0.0406,0.0955,0.0035,0.0821,2956,1 
0.45,0.383,0.0421,0.4182,0.0024,0.4546,0.5535,1 
0.0089,7872,0.0896,5923,0.0035,0.4229,0.4149,0 
0.0177,0.1277,0.0629,447,0.0035,0.4472,0.6246,0 
0.0131,5957,0.0894,0.539,0.0035,0.4229,0.4246,0 
0.0319,0.3404,0.0455,0.529,0.0035,0.4482,0.4149,0 
0.0132,0.0426,0.0416,0,0.0035,0.4229,0.4149,1 
0.022,0,0.0552,0.3103,0.0035,0.4229,0.4149,1 
0.4298,0.9574,0.0471,0.3146,0.0035,0.4229,0.4149,0 
0.4476,2553,0.0407,0.5357,0.0027,0.5054,5921,1 
0.014,2766,0.0512,0.3048,0.0035,0.4229,0.4149,1 
0.4291,8085,0.0658,0.5616,0.0035,0.4229,0.4149,0 
0.0181,23426,0.0526,2584,0,0.4229,0.4149,1 
0.8804,5319,0.0285,0.5539,0.002,0.482,0.5386,0 
0.0269,0.234,0.0437,0.2461,0.0035,0.4229,0.4149,1 
