temp,atemp,hum,windspeed,casual,registered,cnt,season,yr,mnth,hr,holiday,weekday,workingday,weathersit
0.3678209,0.41858402,0.80546665,0.16784056,13.188747,144.51115,199.56772,1,1,1,19,0,3,1,2
0.21141037,0.15690354,0.6945803,0.36283734,1.8933419,514.5212,513.6691,1,0,1,8,0,4,1,1
0.58168405,0.623468,0.27520287,0.28381187,74.295135,195.88287,386.3418,2,1,5,13,0,4,1,2
0.34805822,0.40623736,0.80521214,0.16870186,12.393184,152.13504,205.63329,1,1,1,19,0,3,1,2
0.46675098,0.36363843,0.65373087,0.62668645,8.054495,686.86816,658.2138,1,1,3,8,0,3,1,1
0.5029376,0.6082777,0.2118996,0.16417044,93.39735,30.793894,259.22208,2,1,5,13,0,0,0,2
0.3298784,0.4019991,0.84663254,0.14413916,11.732112,116.40724,178.51868,1,1,1,19,0,3,1,2
0.6200532,0.73243606,0.83435,0.14328684,142.16588,174.0019,411.11545,1,1,3,15,0,2,1,1
0.23233774,0.18585342,0.67918015,0.4490582,2.3702013,510.59818,483.17786,1,1,1,8,0,2,1,1
0.56240636,0.53721327,0.62484074,0.17199385,44.70232,81.270775,107.230225,2,0,5,21,0,4,1,1
0.5792791,0.5083077,0.49776828,0.45358863,1.4417565,37.88297,26.11689,2,0,3,1,0,3,1,1
0.58584255,0.63575214,0.312764,0.28427556,91.523605,209.59195,431.44608,2,1,5,13,0,4,1,2
0.41160503,0.4637909,0.56565195,0.25239545,33.476303,192.73329,293.03152,1,1,1,19,0,3,1,2
0.5550709,0.55207545,0.63229656,0.52828664,47.40166,283.02536,313.649,2,1,3,12,0,2,1,1
0.6232468,0.6560539,0.40022692,0.22027406,86.86465,250.34404,416.83395,2,1,5,13,0,4,1,1
0.171738,0.13830139,0.60714257,0.16387746,0.18628629,0.31494594,1.7400631,1,0,1,1,0,0,0,1
0.21775836,0.21055612,0.7927939,0.17675346,1.863415,453.73315,410.03778,1,1,1,8,0,2,1,1
0.39229044,0.43553615,0.5399252,0.25933394,28.131996,188.38339,297.90268,2,1,1,19,0,3,1,2
0.6636441,0.5854515,0.52333766,0.6625284,28.709614,526.5275,448.057,2,0,3,22,0,2,1,1
0.31574985,0.4088358,0.8928162,0.11518636,15.287656,84.56688,157.16708,1,1,1,15,0,6,0,2
0.33296975,0.25825018,0.6481468,0.37160522,4.0812936,498.51974,491.08856,2,0,5,8,0,4,1,1
0.15830213,0.1280243,0.540852,0.43377894,1.2289622,65.936325,50.150433,1,0,1,8,0,4,1,1
0.6210111,0.73829275,0.8193532,0.14997269,150.1118,179.66199,410.12476,1,1,3,15,0,2,1,1
0.56030655,0.5779031,0.6897724,0.48502007,50.51844,280.1409,334.10654,1,1,3,12,0,2,1,1
0.35279906,0.4601727,0.915634,0.10215783,25.39707,81.45729,177.26408,1,1,1,15,0,6,0,2
0.3370899,0.3518427,0.8594711,0.14377007,4.778142,338.53098,348.1653,1,1,1,8,0,3,1,1
0.6233849,0.5763226,0.6431603,0.48182288,46.514908,563.1352,574.68176,1,1,3,8,0,2,1,1
0.4631521,0.36314213,0.6231906,0.5861401,6.177428,361.19064,317.1896,1,0,3,8,0,3,1,1
0.48235086,0.53089994,0.73055184,0.051963173,84.49169,4.1027346,53.75016,2,0,5,21,0,0,0,1
0.59820485,0.6449537,0.7896893,0.15648477,36.55188,197.96257,343.54544,1,1,3,15,0,2,1,1
0.56875396,0.5025801,0.65696174,0.45447168,32.922016,587.1778,594.0768,1,1,3,8,0,2,1,1
0.44936025,0.5821066,0.81143445,0.18157671,208.35468,210.51979,467.89655,1,1,3,15,0,6,0,1
0.57479805,0.41792598,0.63356113,0.63280255,11.0812645,592.3872,514.24115,2,0,3,8,0,3,1,1
0.5657703,0.6866643,0.8904216,0.112023555,114.41898,157.247,368.987,1,1,1,15,0,6,0,1
0.52387935,0.54124033,0.7126092,0.29138738,34.54978,481.92853,567.6726,1,1,3,8,0,2,1,1
0.6995912,0.6957548,0.46098244,0.29324415,93.17721,402.70474,510.34583,2,1,5,13,0,4,1,1
0.39166808,0.53088206,0.75957334,0.25502414,167.22345,178.96338,359.3655,1,1,3,12,0,6,0,1
0.6414929,0.69383216,0.821847,0.14911787,50.360664,177.90317,337.37683,1,1,1,15,0,2,1,1
0.5382996,0.6751087,0.8874043,0.10409545,96.36867,137.954,329.66528,1,1,1,15,0,6,1,1
0.2917887,0.3236592,0.7292605,0.62264746,74.00855,122.8991,186.52856,1,0,3,12,0,6,0,1
0.5810073,0.502689,0.5290963,0.47497737,1.3392316,44.507378,28.702024,2,0,3,1,0,3,1,1
0.43787178,0.45072326,0.801683,0.1838111,11.397464,410.4753,449.86618,1,1,1,8,0,2,1,1
0.49932376,0.36651617,0.65099126,0.14167178,0.009534484,0.04767918,1.0646124,2,0,3,1,0,0,0,1
0.5820821,0.6367372,0.8106356,0.14415714,30.723251,176.92871,318.72372,1,1,1,15,0,2,1,1
0.46774703,0.4869916,0.71285564,0.26580542,21.366325,462.22992,547.7057,1,1,3,8,0,2,1,1
0.57604575,0.6018871,0.45559987,0.32558432,74.73651,360.055,499.61438,2,1,5,19,0,4,1,2
0.27304363,0.30266893,0.83064,0.030365884,10.966869,0.026801275,3.7626514,2,0,5,21,0,0,0,1
0.62047625,0.72496444,0.8327875,0.13575757,84.61792,143.27052,324.26175,1,1,1,15,0,2,1,1
0.19696555,0.24593236,0.9736544,0.010450798,89.70739,56.761936,224.39116,1,1,1,15,0,6,0,2
0.5732822,0.62334687,0.565169,0.13792448,101.62597,104.99706,242.78432,2,0,5,13,0,4,1,1
0.15526813,0.12023936,0.52506745,0.25318643,1.1239475,4.338549,6.6972055,1,0,1,21,0,4,1,1
0.6083729,0.5568346,0.57909954,0.32356888,0.1475278,4.593806,3.1144357,2,0,3,1,0,3,1,1
0.24619329,0.22405228,0.63503075,0.580719,3.6619093,436.6906,363.68698,1,0,3,8,0,4,1,1
0.5937924,0.51200175,0.60730207,0.59693354,37.082504,589.8395,557.52655,2,1,3,8,0,2,1,1
0.18364213,0.15487893,0.56891286,0.21081284,0.21828106,0.52291,2.0335443,1,0,1,1,0,0,0,1
0.5055566,0.41956416,0.6650484,0.57837695,14.674178,688.4416,688.6964,1,1,3,8,0,3,1,1
0.23000035,0.18365502,0.75375223,0.2878836,2.043301,535.76447,497.47836,1,1,1,8,0,4,1,1
0.20160444,0.16711621,0.6820988,0.3923732,1.7419124,502.8021,438.12106,1,1,1,8,0,2,1,1
