season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2,0,5,17,0,0,0,1,1.2620727,1.2873493,0.37723953,0.802998,2.3796635,0.15038872,383
2,0,5,18,0,0,0,1,1.1582038,1.2873493,0.5847044,0.802998,2.3796635,0.20949565,328
2,0,5,19,0,0,0,1,1.1582038,1.2873493,0.5847044,0.5500235,2.3796635,-0.019543739,287
2,0,5,20,0,0,0,1,1.0543351,1.111028,0.84403545,0.04492055,1.7189745,-0.15253435,219
2,0,5,21,0,0,0,1,0.9504663,0.9347065,1.0515003,-0.20720789,2.178584,-0.19686456,229
2,0,5,22,0,0,0,1,0.84659743,0.66993344,1.3626976,-0.4601824,1.3455415,-0.4111272,171
2,0,5,23,0,0,0,1,0.84659743,0.66993344,1.3626976,-0.20720789,0.48377332,-0.45545742,135
2,0,5,0,1,1,0,1,0.74272865,0.49361205,1.6220287,0.04492055,0.19651726,-0.6180015,103
2,0,5,1,1,1,0,1,0.74272865,0.49361205,1.6220287,-0.4601824,-0.14819002,-0.70666194,79
2,0,5,2,1,1,0,1,0.74272865,0.49361205,1.6220287,0.04492055,-0.4067205,-0.8913711,45
2,0,5,3,1,1,0,1,0.74272865,0.49361205,1.6220287,0.04492055,-0.6077997,-1.0391384,18
2,0,5,4,1,1,0,1,0.6388598,0.40574232,1.6220287,-0.20720789,-0.8376046,-1.068692,6
2,0,5,5,1,1,0,2,0.6388598,0.40574232,1.6220287,-0.71231085,-0.8663302,-1.0539151,7
2,0,5,6,1,1,0,2,0.74272865,0.49361205,1.6220287,-0.83837503,-0.72270215,-1.0243617,16
2,0,5,7,1,1,0,2,0.74272865,0.49361205,1.6220287,-1.5964525,-0.5503485,-0.95786643,31
2,0,5,8,1,1,0,2,0.84659743,0.66993344,1.3626976,-0.71231085,0.13906606,-0.66972005,94
2,0,5,9,1,1,0,1,1.1582038,1.2873493,0.5847044,-0.83837503,0.45504773,-0.49978763,128
2,0,5,10,1,1,0,1,1.5736791,1.6399921,-0.40075374,0.5500235,2.3796635,0.032174833,269
2,0,5,11,1,1,0,1,1.6775479,1.7278619,-0.5563524,-1.5964525,2.3796635,0.14300035,321
2,0,5,12,1,1,0,1,1.8852856,1.9041833,-0.8156835,-0.71231085,2.3796635,0.28337932,366
2,0,5,13,1,1,0,1,1.8852856,1.8163136,-0.9712821,-0.83837503,2.3796635,0.50503033,350
2,0,5,14,1,1,0,1,1.9891543,1.9041833,-1.2306132,-1.5964525,2.3796635,0.26860258,327
2,0,5,15,1,1,0,1,1.9891543,1.9041833,-1.2306132,0.5500235,2.3796635,0.22427239,311
2,0,5,16,1,1,0,1,1.9891543,1.8163136,-1.3343457,0.802998,2.0062306,0.43853503,309
2,0,5,17,1,1,0,1,1.8852856,1.8163136,-1.1268808,0.29789504,2.034956,0.39420483,304
2,0,5,18,1,1,0,1,1.8852856,1.8163136,-1.1268808,-0.20720789,1.316816,0.17255382,249
2,0,5,19,1,1,0,2,0.11951578,0.14096925,-0.76381725,-0.71231085,1.0582855,0.061728302,225
2,0,5,20,1,1,0,1,1.3659415,1.3752191,-0.2451551,-1.5964525,1.0870111,0.14300035,237
2,0,5,21,1,1,0,1,1.2620727,1.2873493,0.37723953,-0.4601824,0.3114197,-0.30769008,149
2,0,5,22,1,1,0,1,1.1582038,1.2873493,0.5847044,-0.20720789,-0.14819002,-0.507176,106
2,0,5,23,1,1,0,1,1.0543351,1.111028,1.1033666,-0.71231085,-0.4928973,-0.8470409,48
2,0,5,0,0,2,1,1,1.0543351,1.111028,0.84403545,-0.83837503,-0.63652533,-0.950478,29
2,0,5,1,0,2,1,1,0.9504663,0.9347065,1.3626976,-0.83837503,-0.66525096,-1.0317501,17
2,0,5,2,0,2,1,2,0.84659743,0.66993344,1.6220287,-0.4601824,-0.75142777,-1.0465268,12
2,0,5,3,0,2,1,2,0.74272865,0.49361205,1.6220287,-1.5964525,-0.8663302,-1.0760803,4
2,0,5,4,0,2,1,1,0.84659743,0.7583851,1.0515003,-0.83837503,-0.8950558,-1.0760803,3
2,0,5,5,0,2,1,1,0.84659743,0.7583851,1.0515003,-0.83837503,-0.8950558,-0.90614784,26
2,0,5,6,0,2,1,1,0.9504663,0.9347065,0.84403545,-0.83837503,-0.57907414,-0.37418538,109
2,0,5,7,0,2,1,1,1.2620727,1.2873493,0.16977464,-0.71231085,-0.43544608,0.5198071,235
2,0,5,8,0,2,1,1,1.4698104,1.5515405,-0.19328888,-0.4601824,0.08161484,1.6502273,406
2,0,5,9,0,2,1,1,1.5736791,1.6399921,-0.40075374,-0.4601824,-0.26309243,0.032174833,175
2,0,5,10,0,2,1,1,1.6775479,1.8163136,-0.34888753,-0.4601824,0.16779166,-0.5662829,109
2,0,5,11,0,2,1,1,1.8852856,1.9041833,-0.8156835,-1.5964525,-0.0907388,-0.52195275,106
2,0,5,12,0,2,1,1,1.8852856,1.9041833,-0.8156835,-0.4601824,0.16779166,-0.17469946,162
2,0,5,13,0,2,1,1,2.0930233,2.0805047,-1.2306132,-0.20720789,0.16779166,-0.28552496,147
2,0,5,14,0,2,1,1,2.0930233,1.992635,-1.3343457,-1.5964525,0.28269407,-0.366797,140
2,0,5,15,0,2,1,1,2.0930233,1.992635,-1.3343457,-0.20720789,0.3114197,-0.11559252,175
2,0,5,16,0,2,1,1,2.0930233,2.0805047,-1.2306132,-0.4601824,0.3688709,0.41636994,249
2,0,5,17,0,2,1,1,1.7814168,1.9041833,-0.5044862,0.29789504,1.0295599,2.0639758,495
2,0,5,18,0,2,1,1,1.7814168,1.9041833,-0.5044862,0.04492055,0.6848526,1.5763437,417
2,0,5,19,0,2,1,1,1.4698104,1.5515405,-0.037690226,-0.71231085,0.22524287,0.719293,285
2,0,5,20,0,2,1,1,1.4698104,1.5515405,-0.037690226,-0.71231085,0.19651726,0.4754769,251
2,0,5,21,0,2,1,1,1.3659415,1.4636707,0.16977464,-0.71231085,0.3975965,0.120835245,210
2,0,5,22,0,2,1,1,1.2620727,1.2873493,0.37723953,-0.20720789,0.3114197,-0.2338064,159
2,0,5,23,0,2,1,1,1.1582038,1.2873493,0.84403545,-0.83837503,-0.46417168,-0.7583805,61
2,0,6,0,0,3,1,1,1.0543351,1.111028,0.84403545,-0.20720789,-0.63652533,-0.9135362,34
2,0,6,1,0,3,1,1,1.0543351,1.111028,1.1033666,0.5500235,-0.66525096,-1.0317501,17
2,0,6,2,0,3,1,1,1.0543351,1.111028,0.84403545,-0.20720789,-0.8950558,-1.0760803,3
2,0,6,3,0,3,1,1,0.9504663,0.9347065,1.3626976,0.04492055,-0.8950558,-1.0539151,6
2,0,6,4,0,3,1,2,0.9504663,0.9347065,1.3626976,0.29789504,-0.8950558,-1.068692,4
2,0,6,5,0,3,1,2,0.84659743,0.66993344,1.3626976,-0.83837503,-0.8376046,-0.95786643,21
2,0,6,6,0,3,1,2,0.9504663,0.9347065,1.3626976,-0.83837503,-0.6939765,-0.20425293,128
2,0,6,7,0,3,1,2,1.0543351,1.111028,0.84403545,-0.20720789,-0.34926927,0.859672,284
2,0,6,8,0,3,1,2,1.1582038,1.2873493,0.84403545,0.04492055,0.16779166,1.9827038,454
2,0,6,9,0,3,1,2,1.2620727,1.3752191,0.5847044,0.29789504,0.08161484,0.17994218,207
2,0,6,10,0,3,1,2,1.3659415,1.5515405,0.6365706,0.5500235,-0.004561981,-0.4776225,115
