RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.002557293,63,0,0.334266293,2500.0,7,0,0,0,0,0
1.473053892,42,0,0.174092589,4600.0,2,6,0,3,5,1
0.443622255,48,0,0.311824206,8600.0,13,0,1,0,3,0
0.951220274,49,0,0.407265456,6000.0,10,0,1,0,3,0
0.9999999,53,0,0.533373331,6666.0,8,0,3,0,0,0
0.139134932,42,0,0.560121967,7542.0,5,0,2,0,1,0
0.004196927,59,2,0.63249077,3520.0,9,1,1,2,0,1
0.600626321,32,1,0.507436787,4033.0,13,0,0,0,0,1
0.0,68,0,0.105344733,20000.0,9,0,1,0,1,0
1.081330513,48,0,0.636619718,8164.0,6,0,2,0,0,1
0.123988581,49,0,0.093913337,5930.0,8,0,0,0,1,0
0.96310369,60,0,0.123908878,4696.0,11,0,0,0,0,1
0.03349665,34,0,0.341648374,5010.0,6,0,1,0,1,1
0.256752068,44,0,0.743496208,10416.0,10,0,3,0,3,0
0.000774879,58,0,0.88444722,1600.0,6,0,1,0,1,0
0.185032952,58,0,0.856516129,7749.0,31,0,4,0,0,0
0.110688582,38,0,0.423065722,10300.0,8,0,1,0,2,0
0.0,25,1,0.114516129,3099.0,2,0,0,0,0,0
0.00757815,42,1,0.366780147,5580.0,8,0,3,1,2,1
0.065464485,52,0,0.168514815,5500.0,6,0,1,0,0,0
0.065134255,60,0,0.485873736,8600.0,15,0,2,0,0,0
0.734284381,45,0,11311.0,0.0,6,0,2,1,0,0
0.46036445,48,0,0.249182849,5200.0,10,0,0,0,0,1
0.002047011,63,0,0.216258702,8905.0,10,0,1,0,0,0
0.188382796,44,0,0.012495537,2800.0,1,0,0,0,0,1
0.678054878,43,1,0.146118721,4598.0,8,0,0,1,0,1
0.9999999,72,0,0.129304599,4500.0,1,0,0,0,1,0
0.9999999,30,0,0.185120094,1706.0,0,4,0,0,3,1
0.682241716,56,0,0.548290342,5000.0,8,0,2,0,0,0
0.064546488,62,3,0.014492754,3380.0,12,1,0,0,1,1
0.538753925,53,1,0.115509541,4925.0,5,4,0,1,5,1
0.9999999,36,1,0.124399154,5200.0,2,2,0,1,0,1
0.017890321,79,0,0.093151141,6000.0,17,0,0,0,1,0
0.751977553,57,0,0.513997334,5250.0,16,0,1,0,0,1
0.07012678,45,0,0.374290057,12500.0,13,0,2,0,2,0
0.082942394,45,1,0.4875025,5000.0,8,0,1,0,5,0
0.982225514,52,0,0.804941482,3075.0,8,0,2,0,1,0
0.170291906,41,0,0.481296758,400.0,7,0,0,0,2,0
