date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.45287466,0.8463408,0.10096204,0.7795294,0.008345275,0.5441945,0.38661003,0 
0.8864969,0.39121386,0.076974064,0.6536029,0.00290633,0.5806239,0.48677742,0 
0.44821265,0.4768833,0.071670614,0.67345464,0.003778605,0.4218687,0.5680372,0 
0.45738333,0.071192615,0.03352671,0.4552583,0.002696388,0.49925902,0.48446465,0 
0.87168884,0.40076554,0.031744726,0.5807291,0.001564325,0.5728888,0.40551397,0 
0.8889326,0.3559451,0.07037325,0.52727395,0.002802135,0.50517917,0.5322823,0 
0.4609073,0.42589352,0.032179285,0.51146734,0.002145162,0.42570335,0.53086245,0 
0.88903594,0.6147199,0.13246183,0.5574557,0.005297169,0.42734155,0.7393615,0 
0.8842139,0.47502065,0.034924664,0.3456435,0.001718327,0.25998184,0.8288062,0 
0.45085198,0.000665257,0.04181815,0.567656,0.002581513,0.43095323,0.6569882,0 
0.47653544,0.49097025,0.037244763,0.54186183,0.004611056,0.50213,0.11438067,0 
0.86954254,0.71082175,0.030460468,0.5787157,0.001179768,0.58706164,0.4385074,0 
0.47162542,0.7056498,0.024772452,0.24641502,0.001542773,0.13398936,0.7094944,0 
0.44452018,0.34262666,0.09059615,0.6640568,0.005573817,0.6069223,0.2896635,0 
0.4529904,0.41772646,0.052239213,0.6006165,0.003294723,0.5345157,0.4666563,0 
0.8973402,0.8893898,0.11411612,0.67846036,0.005581561,0.64638656,0.45380798,0 
0.46894026,0.5424826,0.024149373,0.25894743,0.001792339,0.15482165,0.7532641,0 
0.8872984,0.5637615,0.2761759,0.609901,0.010145743,0.50447273,0.8519097,0 
0.89180183,0.19323106,0.06945201,0.3417341,0.003391597,0.4203158,0.5840854,0 
0.8761704,0.6540281,0.032234054,0.5116961,0.001874675,0.4991615,0.39180785,0 
0.4519229,0.8774517,0.041614473,0.573518,0.002742799,0.4209638,0.5830565,0 
0.89875305,0.5874054,0.083564736,0.47639647,0.003212109,0.53881514,0.43675366,0 
0.6368581,0.9310476,0.03539472,0.2284608,0.00220867,0.19721897,0.8082898,0 
0.45053977,0.32761103,0.053945642,0.4765569,0.004194041,0.51083183,0.49112582,0 
0.866828,0.54444104,0.14899671,0.8505155,0.007134232,0.7099724,0.49473268,0 
0.45103627,0.64476985,0.08449698,0.61651224,0.006337156,0.4782575,0.5056419,0 
0.8946604,0.9903779,0.041241046,0.38909897,0.001556944,0.37705967,0.52171004,0 
0.44780302,0.32299164,0.050952114,0.43285424,0.002606648,0.33507848,0.69678545,0 
0.8662221,0.56997865,0.03127094,0.5247635,0.00206778,0.5009296,0.42757595,0 
0.46048474,0.3667601,0.04564324,0.5347896,0.002852647,0.5273759,0.335892,0 
0.88465047,0.14082336,0.03331928,0.21255045,0.001527737,0.32832754,0.7879019,0 
0.45987472,0.23089623,0.0353028,0.28873387,0.001896633,0.22128205,0.8166391,0 
0.45797044,0.70846975,0.050434973,0.7168102,0.004516179,0.7701182,0.18420109,0 
0.9225421,0.99000335,0.10033476,0.483922,0.006067133,0.45264065,0.45696136,0 
0.8706614,0.5235775,0.028176038,0.36059594,0.001634565,0.23971221,0.7310389,0 
0.87612665,0.99533206,0.02968049,0.2974754,0.001404313,0.3268883,0.7941279,0 
0.43547216,0.28880477,0.07367747,0.5078881,0.003255747,0.41673335,0.4167668,0 
0.8937164,0.86575854,0.093594864,0.6305632,0.003077825,0.56329876,0.4197323,0 
0.89301807,0.93306684,0.09588642,0.55824417,0.003767131,0.5306715,0.47656068,0 
0.8910297,0.031268146,0.09943806,0.3604398,0.005090113,0.38569984,0.6589329,0 
0.8941729,0.79295266,0.051144265,0.45462808,0.00228997,0.5193164,0.393953,0 
0.44996965,0.4276045,0.05017849,0.5918323,0.003462917,0.4356195,0.44138163,0 
0.45152795,0.008310279,0.043604776,0.5539145,0.0028614,0.44922835,0.5753674,0 
0.8788144,0.95882624,0.03530888,0.4075687,0.002514894,0.21066354,0.67966956,0 
0.45936733,0.3796525,0.03131636,0.5694617,0.001914464,0.4528144,0.66980064,0 
0.46213165,0.5741512,0.03073808,0.5830598,0.001495891,0.40436053,0.6744786,0 
0.45570967,0.988057,0.04266525,0.45019433,0.00290977,0.3003537,0.6178187,0 
0.88754916,0.23879261,0.055796206,0.23595795,0.002103996,0.28772667,0.7525922,0 
0.45539236,0.5390603,0.044600356,0.47531855,0.002256215,0.21292232,0.81675136,0 
0.4450359,0.56290674,0.07081845,0.5248942,0.005353158,0.55028164,0.47702226,0 
0.44311517,0.34156117,0.079985976,0.5738127,0.002755411,0.41131157,0.42426017,0 
0.4525955,0.7881667,0.04238981,0.50469893,0.003237954,0.26042974,0.55550444,0 
0.47325727,0.58584887,0.04942899,0.5002132,0.004051051,0.47064832,0.18399508,0 
0.46345255,0.4780736,0.036168016,0.3742122,0.001587378,0.34404424,0.6794709,0 
0.45954803,0.34216055,0.042691514,0.54932016,0.004207775,0.51223654,0.47302124,0 
0.46592247,0.99642193,0.026503174,0.44298363,0.001758374,0.38985032,0.48231182,0 
0.4612568,0.56884474,0.05073023,0.56196314,0.003225807,0.5402003,0.13552624,0 
0.46187282,0.21608442,0.033240728,0.53540105,0.002332958,0.49793693,0.53599197,0 
0.46175486,0.62595165,0.056017105,0.54703796,0.00350403,0.45637998,0.30352932,0 
0.88952214,0.990329,0.036482476,0.37711343,0.001381422,0.33400816,0.685487,0 
0.46072248,0.34715542,0.05427551,0.51239103,0.00352633,0.5071778,0.28088167,0 
0.45717314,0.30555376,0.03335244,0.50980926,0.002593562,0.43295687,0.7330888,0 
0.88642335,0.68011224,0.02957463,0.3267452,0.000938161,0.31282702,0.5786666,0 
0.4637312,0.7079953,0.026959086,0.45003426,0.001774203,0.3407764,0.65818465,0 
0.46750778,0.7433064,0.028108116,0.34724694,0.00177632,0.27231303,0.7854037,0 
0.88921535,0.96970314,0.035838638,0.41350383,0.00120196,0.35400692,0.37426743,0 
0.88801,0.30617654,0.05025249,0.5155792,0.002997481,0.60500914,0.43511444,0 
0.8891375,0.76915073,0.12573534,0.6500194,0.004752858,0.45972362,0.7984406,0 
0.460378,0.5421644,0.033811916,0.66369516,0.002235308,0.50653404,0.53289026,0 
