V1,V6,V10,V12,V13,V14,V15,Class
35,843,7,236,1,118,2,2
46,982,12,223,1,44,1,2
53,2371,14,143,3,162,3,2
42,423,10,213,1,93,3,2
52,3122,19,281,2,88,1,2
61,125,13,378,1,67,4,2
37,1212,11,192,2,267,2,1
49,74,26,225,1,133,1,1
54,5923,9,179,1,168,2,2
66,1231,15,391,2,216,3,2
58,67,16,255,1,234,4,2
47,2210,4,178,2,96,3,1
33,391,12,317,1,242,2,2
38,982,10,219,1,178,1,2
62,67,30,240,1,91,0,1
60,2857,8,102,1,204,5,1
32,391,3,329,1,125,3,1
41,1337,6,181,2,33,2,2
53,2461,14,94,1,68,1,2
37,982,11,269,1,152,4,2
34,318,16,137,1,21,0,2
49,1550,10,125,3,212,1,1
48,1719,7,271,2,186,2,1
60,149,27,543,5,70,1,2
45,1483,4,232,1,263,2,2
58,2281,12,94,3,30,0,2
40,1281,9,156,2,115,2,2
34,97,5,229,1,37,1,1
57,187,21,65,1,51,3,1
39,663,3,319,1,275,2,1
42,1833,6,101,1,69,2,2
53,2052,9,101,1,68,3,1
32,2454,15,346,2,186,2,2
56,198,11,221,3,-1,0,1
51,362,6,139,2,-1,0,1
35,988,19,404,1,232,3,2
43,1612,7,267,1,88,4,2
52,783,17,319,4,-1,0,2
37,139,4,138,1,333,1,2
63,1230,13,328,2,182,3,2
42,223,2,125,1,-1,0,1
59,4211,28,262,2,-1,0,2
45,586,9,169,1,422,2,1
38,1772,20,391,1,142,2,2
48,1345,5,211,1,-1,0,1
50,1023,23,187,1,99,3,2
44,53,3,114,1,-1,0,1
41,112,8,99,5,-1,0,1
44,1721,3,153,1,155,1,2
51,1302,11,305,3,170,2,2
59,5421,14,153,2,7,1,2
37,1176,4,227,2,201,3,2
43,219,6,175,1,2,0,1
46,20,29,1212,3,-1,0,2
55,1755,18,155,9,-1,0,1
60,68,25,265,2,105,3,2
41,1480,14,81,1,7,0,1
61,1043,22,324,2,363,2,2
74,861,7,212,1,76,1,2
37,1148,5,242,1,227,2,1
25,79,11,646,1,-1,0,2
35,105,7,219,1,79,4,2
54,26432,23,43,1,-1,0,1
54,1012,8,184,5,-1,0,1
47,423,16,287,1,78,2,2
53,235,23,188,5,312,3,2
42,731,10,216,1,222,1,2
37,168,17,242,1,132,2,1
44,983,4,128,1,98,2,2
51,622,14,308,2,178,1,1
32,202,11,191,1,112,4,1
59,154,6,107,2,137,1,1
41,472,5,237,1,92,3,2
49,778,8,333,1,312,1,1
55,332,9,183,3,162,5,2
36,41,30,144,1,288,3,1
54,275,22,179,1,122,4,1
43,121,15,248,1,62,2,1
52,16,28,97,2,188,3,1
55,1809,15,275,2,170,2,2
37,1025,5,110,3,80,1,2
45,831,19,253,1,300,3,2
50,1503,10,169,4,29,1,1
47,318,4,233,1,162,2,2
52,2377,24,171,1,215,4,2
43,101,31,1020,2,-1,0,2
38,99,12,198,1,99,2,2
42,1195,4,100,1,188,2,2
53,437,7,148,2,78,1,2
56,726,6,132,1,56,3,1
47,318,4,233,1,162,2,2
61,746,16,445,2,269,1,2
65,834,13,201,1,173,0,1
43,101,31,1020,2,-1,0,2
41,180,10,288,1,172,2,2
49,1235,15,308,1,188,3,2
36,112,4,139,2,-1,0,2
52,891,26,179,1,51,1,2
51,291,6,167,1,111,4,2
38,0,30,990,2,-1,0,2
30,3,9,211,1,98,2,2
59,2822,22,89,1,122,1,2
46,431,3,159,1,292,2,2
62,1284,19,352,2,158,3,2
33,123,3,233,1,92,5,2
60,1254,14,288,1,192,3,2
43,965,8,217,2,94,1,2
42,1023,12,162,1,101,0,1
44,285,15,123,1,-1,0,1
42,2135,8,218,2,78,2,2
52,197,16,384,1,321,1,2
35,118,7,276,2,42,3,2
59,874,9,205,1,99,0,1
43,3089,14,157,2,220,2,2
53,417,19,115,1,189,2,2
31,268,6,207,1,71,3,2
64,3594,22,47,1,141,3,2
57,1532,10,173,1,192,0,1
38,116,4,265,3,39,2,2
45,327,3,118,1,94,1,1
36,289,8,268,1,75,2,2
41,134,2,257,1,223,1,2
51,2470,17,90,1,314,3,2
56,832,4,208,3,37,1,1
41,2215,11,301,1,129,2,2
42,5400,10,132,3,-1,0,2
36,2583,4,173,1,214,3,2
48,124,7,135,1,-1,0,1
36,302,3,235,2,109,2,2
53,4259,17,65,2,-1,0,1
58,119,24,228,1,156,3,2
43,1873,29,231,2,88,3,2
69,691,13,237,1,112,2,2
55,1544,8,182,3,-1,0,1
59,1424,4,66,1,167,1,2
39,283,6,121,1,-1,0,1
46,2194,8,138,1,212,2,2
52,1085,19,205,1,201,2,2
41,3997,10,252,2,137,3,2
42,845,11,290,3,90,1,2
32,239,7,142,2,35,0,1
50,1572,18,866,7,240,3,2
40,540,15,401,4,35,1,2
46,730,12,639,6,187,1,2
35,934,7,174,2,102,2,2
39,357,10,216,3,39,1,1
47,238,14,767,6,138,3,2
55,1371,14,716,5,201,2,2
42,275,10,327,4,61,1,2
38,227,7,210,2,48,0,1
45,1255,16,486,3,153,2,2
30,421,8,315,2,44,0,1
37,365,6,161,1,23,0,1
53,1766,13,783,6,285,3,2
42,758,7,276,4,53,1,2
31,205,6,253,3,101,4,2
50,1034,11,453,5,127,2,2
35,506,8,369,2,61,3,2
40,932,9,312,4,146,1,2
33,265,7,227,3,83,5,2
54,1240,12,429,6,152,2,2
49,752,14,597,4,92,3,2
34,403,8,239,2,65,4,2
44,1186,10,357,4,104,1,2
39,597,10,371,3,113,5,2
48,1090,11,460,5,84,2,2
36,308,6,177,4,77,3,2
47,828,13,575,6,152,4,2
41,713,8,222,5,107,5,2
42,225,11,413,3,88,2,2
33,410,6,293,2,48,1,1
51,136,13,495,4,136,1,2
40,98,8,322,3,64,2,1
39,277,14,389,5,104,3,1
45,643,8,267,3,33,0,1
50,162,12,464,4,115,3,2
37,815,6,226,1,30,2,1
41,510,7,254,2,39,0,1
29,382,4,224,3,61,0,1
53,463,10,531,2,54,0,1
44,231,14,462,6,111,4,1
47,209,12,528,5,97,2,1
48,873,9,377,2,41,1,2
34,146,6,298,1,21,0,2
43,1010,14,567,1,75,5,2
48,252,11,435,3,80,1,2
35,410,7,239,2,163,4,2
52,2145,15,672,4,185,3,2
41,450,11,212,2,105,2,2
30,890,8,496,1,33,0,1
54,1456,16,374,3,121,2,2
50,1863,19,948,7,84,1,2
39,32,6,301,3,53,4,1
46,723,12,224,1,142,5,2
38,410,12,607,4,99,2,2
44,326,14,809,6,120,3,2
33,128,8,335,3,108,3,1
57,1221,13,487,2,185,1,2
40,798,10,524,2,78,0,2
58,697,20,1124,9,139,4,2
31,243,5,174,3,139,2,1
47,1378,6,451,3,45,4,2
39,542,11,290,2,178,2,2
31,901,7,334,5,92,3,1
52,2435,14,410,3,113,1,2
42,679,9,209,2,134,2,2
45,1222,13,419,1,218,3,2
50,2748,17,689,7,72,1,1
29,404,5,173,2,57,3,1
53,1967,10,286,1,151,2,2
39,887,6,358,3,186,4,1
37,1272,5,491,5,225,4,2
49,2494,11,300,1,163,2,2
41,640,12,532,3,191,1,2
40,745,7,219,4,45,1,1
34,104,9,324,2,56,3,1
30,2500,5,400,2,50,4,2
45,1000,15,600,3,100,2,2
35,500,8,300,1,80,5,1
50,1500,10,450,2,70,3,2
40,2000,12,500,2,90,4,2
42,1200,6,350,1,60,3,1
55,800,20,700,4,120,2,2
38,1800,9,420,2,85,4,2
48,1300,11,480,3,95,3,2
32,700,7,270,1,75,5,1
47,2500,13,550,3,105,2,2
41,1600,8,390,1,65,4,1
27,300,4,200,1,55,6,1
52,1100,18,650,4,130,3,2
37,1400,10,410,2,88,4,2
41,527,11,447,2,90,1,2
44,1066,9,268,3,184,1,2
32,1012,15,553,1,155,2,2
38,870,11,345,3,148,2,2
35,32,6,257,2,110,0,1
42,1713,13,474,3,243,1,2
37,423,22,370,0,297,1,2
44,1066,9,268,3,184,1,2
44,1066,9,268,3,184,1,2
38,870,11,345,3,148,2,2
43,602,12,485,4,83,0,2
34,1260,9,189,6,308,3,1
42,220,7,456,3,56,1,2
35,764,12,289,1,93,0,2
50,1550,5,725,3,182,2,2
31,310,4,150,2,43,0,1
42,1298,11,394,4,212,3,2
54,360,8,509,2,125,1,2
27,150,8,391,2,64,0,1
40,289,6,362,1,30,0,2
46,1420,15,617,5,276,1,2
40,553,8,345,3,121,1,2
32,85,5,203,1,9,0,1
38,997,9,335,2,78,2,2
48,688,10,407,3,143,1,2
33,121,4,236,1,17,0,1
46,1469,16,592,6,258,2,2
45,2040,11,453,3,132,1,2
31,249,6,288,3,73,2,1
52,1289,16,425,6,275,1,2
39,112,4,290,2,68,1,1
33,51,7,212,1,109,3,1
42,225,15,349,5,226,2,2
49,1680,12,294,3,195,1,2
41,53,8,415,2,182,1,2
38,310,9,534,5,88,2,1
50,1030,14,458,4,253,1,2
35,891,14,405,5,93,3,2
47,745,11,396,4,229,1,2
40,67,5,191,2,85,1,1
57,978,9,371,3,195,1,2
32,116,10,132,1,84,0,1
42,750,11,450,3,160,2,2
31,942,5,265,1,80,1,2
47,278,12,400,4,35,1,2
34,613,10,238,2,115,3,2
52,1894,15,743,7,220,2,2
40,1012,7,310,2,132,1,2
49,534,13,449,6,73,2,2
29,452,5,168,1,50,0,2
36,1529,9,155,3,260,2,1
43,1013,11,411,5,173,1,2
39,221,8,319,1,98,1,2
37,1240,8,265,3,91,0,1
26,100,10,678,1,50,1,2
44,189,7,191,3,72,1,1
54,2280,17,846,8,302,2,2
54,229,20,502,3,77,3,1
53,138,15,372,3,-1,0,1
29,854,6,441,1,-1,0,1
33,1892,14,670,5,266,2,1
51,2625,22,93,1,-1,0,1
49,287,4,333,3,128,2,1
60,126,23,411,1,-1,0,1
54,988,26,281,1,380,1,2
54,229,20,502,3,77,3,1
57,4521,13,234,1,250,1,2
38,275,17,34,3,-1,0,1
46,7,29,233,2,-1,0,1
39,299,8,522,2,-1,0,1
38,275,17,34,3,-1,0,1
27,4,19,433,5,-1,0,1
40,1234,15,300,2,200,3,1
53,3000,10,100,1,50,1,1
45,600,18,500,3,-1,0,1
33,500,25,150,2,80,2,2
49,2000,5,350,4,-1,0,1
37,100,8,450,1,120,4,1
58,8000,30,20,1,250,2,2
38,456,7,500,3,-1,0,1
56,3500,22,400,2,100,1,2
41,543,12,333,5,-1,0,2
42,223,16,187,3,-1,0,1
53,1453,23,66,1,222,3,2
32,119,5,317,2,-1,0,1
61,327,11,733,2,-1,0,1
49,444,8,158,5,-1,0,1
36,950,6,406,3,122,4,1
47,214,9,338,1,64,1,1
56,753,18,103,1,234,2,2
43,550,19,879,3,-1,0,1
67,186,14,259,2,62,1,1
38,321,4,210,6,178,6,2
52,624,16,81,3,-1,0,1
29,543,7,67,2,142,3,1
40,275,26,49,1,90,2,2
30,325,3,260,1,261,2,1
