V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,class
0.537808,0.738095,0.584722,0.285637,0.385399,0.244154,0.746165,0.0818256,0.494545,90.7139,117.333,100.144,22.506,16.4874,8.6324,0.420325,1.50115,1.82022,46.8345,1.89382,7.31173,12.7919,6.46873,6.83523,0.0297975,-0.706002,0.742549,72.9196,0.116667,-4.88972,16.5025,0.365231,14.8587,0.372558,7.47745,0.700787,158.856,0.416667,83.3099,42.1601,0.528432,31.5414,13.4847,156.591,51.4743,0.219306,0.293228,0.105208,109.558,-0.93707,5.47162,11.3319,0.0549847,0.790133,1
0.23464,0.166667,0.463889,0.710327,0.653618,0.204207,0.596972,0.0620991,0.556128,94.7052,72.3832,63.1332,22.3145,19.9669,15.1815,0.724149,1.9303,2.91589,48.7851,3.74083,11.3181,14.5653,5.18568,5.82409,0.433094,-0.430421,0.741475,67.5743,0.166667,-2.80543,13.8923,0.312232,11.3413,0.28486,6.38445,1.20291,132.265,0.35,68.9027,31.7098,0.311318,37.0734,9.87496,87.9972,40.8389,0.390796,0.167264,0.0631323,103.583,0.424468,13.0846,10.5811,0.00911223,0.118229,0
0.660399,0.577778,0.513889,0.413642,0.593682,0.981039,0.703145,0.0142214,0.372032,91.9403,96.3031,78.4482,47.3542,41.2936,35.2345,0.278298,0.334032,0.372961,69.3721,5.23547,6.72411,14.5122,3.88914,4.90998,-0.556231,0.568654,-0.428641,78.1104,0.401389,1.72572,25.9026,0.204216,9.44994,0.223665,3.83757,-0.810114,107.422,0.327778,180.215,49.9245,-0.31548,41.0214,8.22371,86.3456,30.7774,0.56932,0.119314,0.0849965,127.369,1.09575,19.7352,5.68482,0.0602392,0.58769,0
0.10651,0.833333,0.197917,0.466683,0.61069,0.785056,0.147742,0.0398261,0.354211,87.2632,81.1213,67.689,42.9653,41.6826,39.1516,0.889608,0.894579,1.46575,61.0118,-0.129681,7.38982,13.4252,3.01581,5.4396,0.0978643,0.816113,0.258173,46.6463,0.664583,8.71713,7.64832,0.51307,15.4037,0.71946,2.37803,1.23588,157.38,0.527778,149.569,14.7557,0.880939,21.3489,13.0752,82.583,44.8884,0.438848,0.10994,0.0409627,173.536,-0.0653927,26.6461,5.41299,0.0839815,0.692485,1
0.299922,0.233333,0.511111,0.39702,0.461958,0.800646,0.566176,0.0469053,0.224338,63.5739,69.3049,72.1036,27.4845,29.1556,27.6863,0.810431,2.34645,2.87746,35.3766,1.5585,7.57055,8.16802,4.40718,4.48692,0.441435,-0.203181,0.444218,66.6549,0.8375,-2.28073,16.2965,0.349352,6.85662,0.367469,5.0525,-1.45389,205.551,0.422222,66.7166,6.39535,0.100962,28.9712,4.75899,166.392,49.1216,0.581135,0.596718,0.0468846,61.1068,0.33703,31.6888,7.17517,0.00610825,0.93189,0
0.0637234,0.59375,0.552778,0.366866,0.267279,0.31956,0.299951,0.0918051,0.428452,126.054,92.8086,80.6615,30.6795,24.9526,22.2785,1.24723,1.73004,2.08976,62.2965,3.81921,8.8499,14.3333,4.48887,4.37625,0.441238,-0.60987,0.793302,69.3219,0.59375,-3.35883,16.8955,0.319212,11.2991,0.0876951,4.24613,1.21364,164.201,0.4125,89.2879,40.4639,0.612713,41.0881,12.7647,133.109,33.6776,0.288523,0.124933,0.0466986,95.4555,0.596513,33.2353,11.3595,0.0817869,0.805007,1
0.0785558,0.25,0.552083,0.364418,0.555484,0.731027,0.410123,0.0256783,0.24226,115.563,128.678,83.7075,29.6471,28.4955,19.9648,0.432256,0.819642,1.09865,65.7895,2.45934,10.9174,6.58868,3.27614,5.12459,0.186103,-0.214051,0.595249,65.7438,0.477083,-3.77257,14.3091,0.181354,7.56616,0.222415,2.05918,-2.26332,66.986,0.261111,90.5426,7.44905,-0.336337,27.4892,6.6558,116.562,54.6234,0.655044,0.0814488,0.0953924,98.9034,0.416268,5.4007,11.1745,0.129875,0.601692,1
0.143823,0.625,0.507639,0.760687,0.419468,0.854194,0.592051,0.0205418,0.234435,108.36,123.45,88.905,23.5871,24.5632,17.905,0.613654,1.20948,1.36492,75.4289,2.84563,9.55673,7.28751,3.94936,4.82781,0.249813,-0.451684,0.728332,67.3426,0.608333,-5.17096,16.8495,0.39158,16.5246,0.17473,2.39676,-1.67343,153.284,0.366667,116.113,21.9866,1.01597,24.8879,9.98226,116.483,29.4828,0.696493,0.268758,0.00921739,108.586,-0.0305961,29.7643,9.19883,0.131831,0.460929,1
0.2487,0.44444,0.62222,0.294567,0.51894,0.187291,0.456123,0.0582636,0.453218,97.8092,78.1892,55.9231,39.0436,38.5029,31.7524,0.942769,1.43254,2.36982,67.2314,2.73196,11.9047,14.5236,5.1892,5.92145,0.418356,-0.263746,0.865793,69.3075,0.533333,-9.10324,15.2547,0.296798,14.9275,0.219748,7.48291,1.12347,210.421,0.386111,162.047,45.9821,1.99345,33.9075,13.8742,133.732,43.1243,0.654319,0.357829,0.0829871,103.253,-0.753417,33.7082,11.7382,0.135982,0.753892,0
0.187596,0.291667,0.715278,0.725689,0.620942,0.213576,0.585482,0.0634058,0.612734,75.1293,65.3097,49.6723,34.2946,31.8947,29.5674,1.10423,1.62309,2.39872,57.8492,3.44465,10.2938,13.2857,4.18372,5.02876,0.388271,-0.304673,0.87724,70.8945,0.65625,-10.5567,16.2948,0.259034,13.8427,0.201384,7.18492,1.22345,208.732,0.375,160.984,44.6723,1.8345,33.2938,14.2396,132.899,41.8945,0.687325,0.421937,0.0731248,101.234,-0.634573,32.1298,11.3456,0.128975,0.710243,0
