CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8
0.03445,82.5,2.03,0,0.415,6.935,30.4,10.5857,2,348,14.7,394.23,2.97,50.0
0.00707,0.0,8.14,0,0.538,6.072,40.8,4.175,4,307,21.0,393.36,11.64,22.7
0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,34.9
0.06076,0.0,11.93,0,0.573,6.976,91.0,2.1675,1,273,21.0,394.33,7.79,23.1
0.00707,0.0,8.14,0,0.538,6.726,68.1,3.99,4,307,21.0,395.28,10.26,21.7
0.0014,0.0,5.19,0,0.515,6.153,71.5,3.2797,5,224,20.2,396.9,11.64,22.7
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,395.11,4.7,32.4
0.0351,95.0,2.68,0,0.4161,6.597,25.0,4.2019,4,224,14.7,394.63,2.94,32.0
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4
0.00832,20.0,5.0,0,0.487,6.3,45.0,6.5,5,300,19.0,390.0,8.0,26.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.10407,0.0,10.01,0,0.547,6.25,68.2,3.0911,6,432,17.8,396.9,9.74,21.2
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.05083,0.0,5.19,0,0.515,6.593,69.1,2.4786,5,224,20.2,396.9,6.72,25.0
0.0187,85.0,5.96,0,0.499,5.942,83.0,3.1145,5,279,19.2,393.63,5.03,28.7
0.06899,0.0,2.89,0,0.445,7.088,20.8,7.3073,2,276,18.0,396.9,6.15,33.2
0.15038,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21.0,394.77,10.42,20.3
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.08447,0.0,4.05,0,0.51,6.59,40.4,7.3172,5,296,16.6,394.62,7.43,24.7
